BOOK_ID,IMAGE_ID,BOOK_PATH
BK048,12,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_7-390x510.jpg
BK048,13,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_8-390x510.jpg
BK048,14,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_9-390x510.jpg
BK048,15,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/hildafolk_1_hilda_and_the_troll/2022_08_25_13_40_16_10-390x510.jpg
BK049,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780063227842.jpg
BK049,2,https://cdn0.fahasa.com/media/catalog/product/t/h/the_cat_who_saved_books_1_2022_08_18_16_10_13.jpg
BK049,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_cat_who_saved_books/2022_08_18_16_10_13_1-390x510.jpg
BK049,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_cat_who_saved_books/2022_08_18_16_10_13_2-390x510.jpg
BK049,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_cat_who_saved_books/2022_08_18_16_10_13_3-390x510.jpg
BK049,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_cat_who_saved_books/2022_08_18_16_10_13_4-390x510.jpg
BK049,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_cat_who_saved_books/2022_08_18_16_10_13_5-390x510.jpg
BK050,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780241558331.jpg
BK050,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_1-390x510.jpg
BK050,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_2-390x510.jpg
BK050,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_3-390x510.png
BK050,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_4-390x510.png
BK050,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_5-390x510.png
BK050,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/james_and_the_giant_peach/2023_09_21_16_57_07_6-390x510.jpg
